pattern,size,support,support_pct,wins,losses,win_confidence,loss_confidence,win_lift,loss_lift,avg_pnl,net_pnl
Momentum=FAIL + Risk=FAIL + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Structure=PASS + confidence=80-90 + entry_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + Structure=PASS + confidence=80-90 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + Trend=PASS + confidence=80-90 + entry_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + Trend=PASS + confidence=80-90 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + age=0-5m + confidence=80-90 + entry_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + age=0-5m + confidence=80-90 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + direction=SHORT + entry_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + direction=SHORT + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + entry_quality=B + local_trend=BEARISH,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + entry_quality=B + momentum_disagreement,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + entry_quality=B + rr=1.5-2.2,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + entry_quality=B + sl_atr=normal,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + entry_quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + entry_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + local_trend=BEARISH + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + momentum_disagreement + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Risk=FAIL + Trend=PASS + age=0-5m + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + direction=SHORT + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + entry_quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + entry_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + local_trend=BEARISH + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + momentum_disagreement + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + potential_score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + Trend=PASS + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + direction=SHORT + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + entry_quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + entry_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + local_trend=BEARISH + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + momentum_disagreement + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + potential_score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + entry_quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + entry_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + local_trend=BEARISH + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + momentum_disagreement + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + potential_score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + local_trend=BEARISH + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + local_trend=BEARISH + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + momentum_disagreement + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + momentum_disagreement + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + potential_score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + potential_score=25-27 + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + rr=1.5-2.2 + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + score=25-27 + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + signal=SETUP + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + sl_atr=normal + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + symbol=BTC/USDT + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + symbol=BTC/USDT + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + momentum_disagreement + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + potential_score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + potential_score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + potential_score=25-27 + quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + potential_score=25-27 + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + potential_score=25-27 + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + potential_score=25-27 + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + potential_score=25-27 + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + potential_score=25-27 + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + potential_score=25-27 + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + potential_score=25-27 + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + quality=B + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + quality=B + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + quality=B + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + quality=B + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + quality=B + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + quality=B + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + quality=B + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + rr=1.5-2.2 + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + rr=1.5-2.2 + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + rr=1.5-2.2 + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + rr=1.5-2.2 + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + rr=1.5-2.2 + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + rr=1.5-2.2 + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + score=25-27 + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + score=25-27 + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + score=25-27 + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + score=25-27 + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + score=25-27 + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + signal=SETUP + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + signal=SETUP + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + signal=SETUP + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + signal=SETUP + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_atr=normal + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_atr=normal + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_atr=normal + sl_quality=B + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_quality=B + symbol=BTC/USDT + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_quality=B + symbol=BTC/USDT + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_quality=B + weighted_score=25-27 + with_or_neutral_local_trend,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
